Name,Description
ความรู้เกี่ยวกับการดำเนินคดีแพ่งให้หน่วยงานของรัฐ | Knowledge of Conducting Civil Cases for State Agencies,วิชานี้มุ่งให้หน่วยงานของรัฐ ราชการส่วนกลาง ราชการส่วนภูมิภาค ราชการส่วนท้องถิ่น รัฐวิสาหกิจ องค์การมหาชน หน่วยงานอื่นของรัฐ มีความรู้ความเข้าใจในหลักการรวบรวมพยานหลักฐานเกี่ยวกับคดีแพ่ง ขั้นตอนในการส่งเรื่องให้สำนักงานอัยการสูงสุดตามอำนาจหน้าที่ และหน่วยงานดังกล่าวสามารถดำเนินกระบวนงานทั้งหมดในการดำเนินคดีได้อย่างถูกต้อง
การป้องกันภาวะสมองเสื่อม | Prevention for dementia,แนวคิดภาวะสมองเสื่อมและโรคสมองเสื่อมที่พบบ่อย สาเหตุและพยาธิสภาพ การวินิจฉัย การประเมินภาวะสุขภาพและสมรรถภาพสมองเบื้องต้น การป้องกันภาวะสมองเสื่อม และกิจกรรมเพื่อชะลอและป้องกันภาวะสมองเสื่อม
โยคะเพื่อสุขภาพ | Yoga for Health,แนะนำแนวคิดการส่งเสริมสุขภาพด้วยโยคะ ทฤษฎีที่เกี่ยวข้องกับการส่งเสริมสุขภาพด้วยโยคะ หลักการ เทคนิค และประโยชน์ ของการส่งเสริมสุขภาพด้วยโยคะอาสนะ ปราณายามะและการผ่อนคลาย แนวทางในการนำโยคะไปใช้ในการส่งเสริมสุขภาพ แนวทางการฝึกปฏิบัติโยคะพื้นฐานเพื่อส่งเสริมสุขภาพ
การดูแลบุคคลที่มีภาวะสมองเสื่อม | Caring for person with dementia,"แนวคิดการจัดการอาการภาวะสมองเสื่อมตามปัญหาและความต้องการการดูแลของผู้สูงอายุที่มีภาวะสมองเสื่อม ปัญหาและความต้องการการดูแลของผู้สูงอายุที่มีภาวะสมองเสื่อมในแต่ละระยะ การรักษา 
พยาบาลบุคคลที่มีภาวะสมองเสื่อมด้วยการใช้ยาและการดูแล การสื่อสารกับบุคคลที่มีภาวะสมองเสื่อม การดูแลบุคคลที่มีภาวะสมองเสื่อม การบำบัดตามหลักปรัชญามอนเตสเซอรี่ การระลึกความหลัง การใช้ศิลปะบำบัด การดูแลผู้ดูแลบุคคลที่มีภาวะสมองเสื่อม"
ชุมชนแห่งความยั่งยืน | Sustainable community,การพัฒนาทรัพยากรธรรมชาติ สิ่งแวดล้อมในชุมชน  หลักปรัชญาเศรษฐกิจพอเพียง เป้าหมาย การพัฒนาอย่างยั่งยืน (SDGs) การพัฒนาเศรษฐกิจชีวภาพ เศรษฐกิจหมุนเวียน เศรษฐกิจสีเขียว (BCG Model)
วิทยาลัยชุมชนกับการเป็นพลเมือง | Community Colleges and Ctitzenship,"ประวัติความเป็นมา ปรัชญา ค่านิยม ทิศทางและแนวโน้มของสถาบันวิทยาลัยและวิทยาลัยชุมชน 
ความเป็นพลเมืองสิทธิเสรีสภาพ หน้าที่รับผิดชอบต่อตนเองและสังคมตามวิถีประชาธิปไตย"
กระบวนการคิดเชิงออกแบบกับการพัฒนาทักษะการเรียนรู้ในศตวรรษที่ 21 | Design thinking and 21st Century Learning Skills Development,"การเรียนรู้ในศตวรรษที่ 21 กระบวนการคิดเชิงออกแบบ (Design Thinking) ความสัมพันธ์ระหว่าง
การเรียนรู้ในศตวรรษที่ 21 และกระบวนการคิดเชิงออกแบบ ความหมาย ความสำคัญ และรูปแบบกระบวนการคิดเชิงออกแบบ กรณีศึกษาการพัฒนาผลิตภัณฑ์ด้วยกระบวนการคิดเชิงออกแบบ และการแก้ปัญหากระบวนการทำงานด้วยกระบวนการคิดเชิงออกแบบ"
การสร้างต้นแบบโมเดลธุรกิจอย่างมืออาชีพ | Design Thinking for Business Innovation,"ความหมาย ความสำคัญ รูปแบบ วิธีการพัฒนา ประเภท ของการสร้างต้นแบบ (Prototype)
 ได้แก่ ต้นแบบทดสอบแนวคิด (CONCEPTUAL PROTOTYPE) ต้นแบบทดสอบพฤติกรรม
( BEHAVIORAL PROTOTYPE)  ต้นแบบทดสอบด้านรูปลักษณ์ (APPEARANCE PROTOTYPE)การร่วมสร้างต้นแบบกับผู้ใช้ (CO-CREATION PROTOTYPE) การสร้างต้นแบบอย่างพ่อมดแห่งอ็อซ (WIZARD OF OZ PROTOTYPE) ความหมาย ความสำคัญ วิธีการ เทคนิคการทดสอบ (Testing)
 ความหมาย ความสำคัญ กระบวนการ แม่แบบโมเดลธุรกิจ (BUSINESS MODEL CANVAS)"
การสร้างความคิดเพื่อพิชิตลูกค้า | The Creation of Thinking to Win the Customers,ความหมาย ความสำคัญ ของการระดมความคิด (Brainstorming) วิธีการและเทคนิคการระดมสมองจากคำถาม เราจะทำอย่างนั้นได้อย่างไร (How Might We?) การระดมสมองจากคำถาม ทำไม อย่างไร (Why and How?) การระดมสมองโดยใช้แผนผังประสบการณ์ และการเล่าเรื่อง (JOURNEY MAP + SCENARIO and STORY TELLING) และการระดมสมองโดยใช้แม่แบบเสนอคุณค่า (VALUE PROPOSITION CANVAS)
ตั้งกรอบโจทย์อย่างไรให้โดนใจลูกค้า | How to Post an Attractive Problem Framework for the Customers,"ความหมาย ความสำคัญของการตั้งกรอบโจทย์ (Define) เครื่องมือที่ใช้ในการตั้งกรอบโจทย์ ได้แก่
 การสร้างผู้ใช้จำลอง (Persona, User Typology) แผนผังประสบการณ์การใช้งาน (User Journey Maps) แผนภาพแสดงคุณค่าของสินค้าหรือบริการ (Value Propositon Canvas) แผนภาพการวิเคราะห์ข้อมูลลูกค้า (Customer Segment Profile) วิธีนิยามโจทย์ปัญหาการออกแบบ (How might we…?)  STAKEHOLDER MAP แผนผังผู้มีส่วนร่วม และ DESIGN BRIEF โจทย์ในการออกแบบ"
ปฏิบัติการคิดเชิงออกแบบนวัตกรรม | A Thinking Workshop on Innovation Design,"หลักการ แนวคิด ความหมาย ความสำคัญ ขั้นตอนการคิดในเชิงการออกแบบนวัตกรรมธุรกิจดิจิทัล การประยุกต์ใช้ในการออกแบบและนวัตกรรมธุรกิจดิจิทัล  การใช้ชุดเครื่องมือการคิดเชิงออกแบบนวัตกรรม เช่น Mindset Tools, Skillset Tools, Tools Set เป็นต้น   การปฏิบัติการคิดเชิงออกแบบนวัตกรรม ความหมาย ความสำคัญ การทำความเข้าใจและการใช้เครื่องมือกับกลุ่มเป้าหมายอย่างลึกซึ้ง (Empathize)"
การบริหารโครงการ IT แบบมืออาชีพ | Professional IT Project Management,     
ภาษาอาร์และการวิเคราะห์ข้อมูล | R Programming for Data Analysis,โปรแกรมอาร์เบื้องต้น การติดตั้ง การใช้งานพื้นฐาน การอัพเดท การอ่านข้อมูลและการส่งออกข้อมูล การติดตั้งและการใช้งานแพ็กเกจ ข้อมูลเบื้องต้น การพยากรณ์ ต้นไม้ตัดสินใจและแรนดอมฟอร์เรส การวิเคราะห์การถดถอย การวิเคราะห์การกระจายของข้อมูล การขจัดข้อมูลไม่เข้าพวก การวิเคราะห์ทามซีรีย์ การพยากรณ์ทามซีรีย์ การกระจายทามซีรีย์ การจำแนกทามซีรีย์ กฎความสัมพันธ์ และตัวอย่างการวิเคราะห์ข้อมูลอื่นๆ
การออกแบบและผลิตสื่อวีดิทัศน์ | Video Production and Design,หลักการเบื้องต้น ความสำคัญ ประโยชน์ของการผลิตสื่อวีดิทัศน์ การวางแผน กระบวนการผลิตสื่อวีดิทัศน์ และการผลิตสื่อวีดิทัศน์โดยใช้อุปกรณ์ต่างๆ ด้วยโปรแกรมประยุกต์
การขึ้นทะเบียนยาสามัญในต่างประเทศ | Common Technical Document (CTD) of Generic Drug Registration in the international countries,"เนื้อหาแบ่งเป็นสองส่วน คือส่วนแรกจะเป็นความรู้เบื้องต้นการเตรียมเอกสารขึ้นทะเบียนยาตามหลักเกณฑ์ Common Technical Documents  และส่วนที่สอง จะเป็นเนื้อหาที่เน้นลงรายละเอียดของการขึ้นทะเบียนยาสามัญในหลายประเทศทั่วโลก  ทั้งนี้ผู้เรียนจะเลือกเรียนประเทศใดก่อนก็ได้ตามความสนใจ เช่น EU,  Taiwan, Korea, China, Australia, New Zealand, Russia  India, Middle East, Africa,  Japan, USA, Latin America และ ASEAN"
ทักษะนักข่าวในยุคดิจิทัล | Journalists' survival guide in Digital age,"“ทักษะนักข่าวในยุคดิจิทัล” เป็น “หลักสูตรการอบรมเพื่อพัฒนาศักยภาพกำลังคนด้านสื่อปลอดภัยและสร้างสรรค์โครงการวิจัยการพัฒนาศักยภาพกำลังคนด้านสื่อและภาควิชาการ” ดำเนินการโดย สมาคมนักข่าววิทยุและโทรทัศน์ไทย ได้รับการสนับสนุนโดย กองทุนพัฒนาสื่อปลอดภัยและสร้างสรรค์ ที่มุ่งหวังพัฒนาศักยภาพคนทำงานด้านสื่อในภาควิชาชีพและภาควิชาการ ในการเพิ่มพูนความรู้ ความเข้าใจ ทักษะและมุมมองความคิด เพื่อนำไปสู่เป้าหมายในการยกระดับความรู้ ความสามารถ ทักษะ ประสบการณ์ และมุมมอง ความคิดให้เท่าทันภูมิทัศน์ และระบบนิเวศสื่อที่เปลี่ยนแปลงไปกับเทคโนโลยีในยุคดิจิทัล “ทักษะนักข่าวในยุคดิจิทัล” เป็นผลมาจากการพัฒนาและออกแบบร่วมกันของบุคลากรด้านสื่อทั้งในภาควิชาชีพและภาควิชาการเพื่อให้ได้หลักสูตรที่มีประสิทธิภาพและสอดคล้องกับสถานการณ์สื่อในปัจจุบัน รวมถึงเป็นหลักสูตรที่บุคลากรด้านสื่อสามารถทำการอบรมได้ทั้งในแบบออฟไลน์และออนไลน์ โดยเนื้อหาของหลักสูตร จำแนกออกเป็น 6 หมวดวิชา ประกอบด้วย 1. การตรวจสอบข้อเท็จจริง (Fact-Checking) 2. ข้อมูล (Data) 3. บริบท (Context) 4. ผู้ชม (Audience) 5.การเล่าเรื่อง (Storytelling) 6. กลยุทธ์และการขาย (Strategy and Selling) และ 7. จริยธรรมใหม่ความรู้สึกร่วม และความรับผิดชอบต่อสังคม (New Ethics, Empathy and Social Responsibility) "
การจัดเตรียมเนื้อหาสำหรับสื่อสังคมออนไลน์ และเว็บไซต์ | Content Preparation for Social Media Platforms and Website,รายวิชานี้ประกอบไปด้วยเนื้อหาได้แก่  2 ส่วนหลัก ส่วนแรก ได้แก่ การสร้างสรรค์เนื้อหาบนสื่อสังคมออนไลน์  ครอบคลุม ความสำคัญของการสร้างสรรค์เนื้อหาบนสื่อสังคมออนไลน์ เครื่องมือในการหาข้อมูลเพื่อการสร้างสรรค์เนื้อหาบนสื่อสังคมออนไลน์ กลยุทธ์การสร้างเนื้อหาบนสื่อสังคมออนไลน์ให้น่าสนใจ และส่วนที่สอง ได้แก่ การสร้างสรรค์เนื้อหาบนสื่อเว็บไซต์ (Website) ครอบคลุม การใช้ข้อมูลเพื่อการสื่อสารในระบบ Search กระบวนการพัฒนาระบบ SEO VS SEM ให้ประสบความสำเร็จ การหาข้อมูลเพื่อเสริมศักยภาพการค้นหา ด้วย SEO การออกแบบเนื้อหาด้วยข้อมูลเพื่อกระบวนการซื้อของผู้บริโภค และเทคนิคการปรับแต่ง Website เพื่อการพัฒนา  SEO VS SEM
กลยุทธ์การตลาดเชิงเนื้อหาในสื่อสังคมเพื่อการจัดการแบรนด์ออนไลน์ | Social Media Content Marketing Strategy for Online Brand Management,รายวิชานี้ประกอบไปด้วยเนื้อหาได้แก่ การสร้างสรรค์เนื้อหาเพื่อการจัดการชื่อเสียงแบรนด์ทางสื่อออนไลน์ (Online Brand  Reputation Management) การพัฒนาการมีส่วนร่วมของผู้บริโภค (Consumer Engagement)   ต่อแบรนด์ออนไลน์ การจัดการผู้ทรงอิทธิพลทางความคิดออนไลน์  (Online Influencer Management) ครอบคลุมถึงการสร้างชื่อเสียงในด้านดีเพื่อให้ผู้คนรู้จักกับแบรนด์และรู้สึกถึงแบรนด์ในทางที่ดี การควบคุมชื่อเสียงในด้านไม่ดีที่ปรากฏออกมาในสื่อสังคมออนไลน์
การจัดการสื่อสังคมออนไลน์ และการตลาดเชิงเนื้อหาบนพื้นฐานของข้อมูล | Data-driven Social Media Management and Content Marketing,รายวิชานี้ประกอบไปด้วยเนื้อหาได้แก่ ความเข้าใจภาพรวมของ Social Media   การใช้งาน Social Media Platform เพื่อการสื่อสาร  การกำหนดกลุ่มเป้าหมาย  หลักการคิดและสร้างสรรค์เนื้อหาบน Social Media กระบวนการการทำการตลาดดิจิทัล  กลยุทธ์การตลาดดิจิทัลในรูปแบบต่างๆ การวัดผลการตลาดดิจิทัล  การนำข้อมูล มาเล่าเรื่อง  ตั้งแต่การเตรียมตัว การเก็บข้อมูล การจัดการข้อมูล และการเล่าเรื่องข้อมูลด้วยภาพ (Data Visualization)
โปรแกรมคอมพิวเตอร์สำเร็จรูป | Computer Program,โปรแกรมสำเร็จรูปในการทำงาน การใช้งานและบำรุงรักษาคอมพิวเตอร์ ฝึกโปรแกรมประมวลผลคำ ตารางคำนวณ และการนำเสนองาน ในการพิมพ์และจัดทำรูปแบบเอกสาร การแสดงผลด้วยกราฟ การจัดการฐานข้อมูลเบื้องต้น การสร้างการนำเสนองาน การทำมัลติมีเดีย
อาหารตะวันตกเบื้องต้น | Basic Western Cuisine,ความหมาย และลักษณะของอาหารตะวันตกเบื้องต้น อุปกรณ์และวัตถุดิบพื้นฐาน การใช้ความร้อนและเทคนิคในการประกอบอาหาร ความรู้และทักษะในการประกอบน้ำสต๊อก ซุป และซอส รวมถึงสามารถประยุกต์ใช้ น้ำสต๊อก ซุป และซอสกับอาหารตะวันตกได้
